Rank,Algorrithm,Recall,Precision,F1-Score,Mathew,Feature,N-gram range
1,Run #289 (SVM),0.88,0.85,0.87,0.87, char ," (2, 5) "
2,Run #291 (SVM),0.88,0.84,0.86,0.86, char ," (2, 5) "
3,Run #290 (SVM),0.87,0.84,0.86,0.85, char ," (2, 5) "
4,Run #327 (SGDC),0.87,0.85,0.86,0.86, char ," (3, 4) "
5,Run #363 (SVM),0.82,0.88,0.85,0.85, char ," (3, 5) "
6,Run #327 (SVM),0.88,0.8,0.84,0.84, char ," (3, 4) "
7,Run #362 (SVM),0.8,0.88,0.84,0.84, char ," (3, 5) "
8,Run #301 (SVM),0.84,0.85,0.84,0.84, char ," (2, 5) "
9,Run #325 (SVM),0.89,0.79,0.84,0.84, char ," (3, 4) "
10,Run #253 (SVM),0.9,0.78,0.84,0.84, char ," (2, 4) "
11,Run #361 (SVM),0.82,0.87,0.84,0.84, char ," (3, 5) "
12,Run #219 (SGDC),0.84,0.84,0.84,0.84, char ," (2, 3) "
13,Run #218 (SGDC),0.86,0.81,0.83,0.83, char ," (2, 3) "
14,Run #253 (SGDC),0.85,0.81,0.83,0.83, char ," (2, 4) "
15,Run #305 (SVM),0.83,0.82,0.83,0.83, char ," (2, 5) "
16,Run #326 (SVM),0.86,0.8,0.83,0.83, char ," (3, 4) "
17,Run #373 (SVM),0.89,0.78,0.83,0.83, char ," (3, 5) "
18,Run #254 (SVM),0.87,0.78,0.83,0.83, char ," (2, 4) "
19,Run #255 (SVM),0.85,0.78,0.82,0.81, char ," (2, 4) "
20,Run #304 (SVM),0.83,0.81,0.82,0.82, char ," (2, 5) "
21,Run #391 (SGDC),0.89,0.77,0.82,0.82, char ," (3, 5) "
22,Run #303 (SVM),0.83,0.81,0.82,0.82, char ," (2, 5) "
23,Run #302 (SVM),0.83,0.81,0.82,0.82, char ," (2, 5) "
24,Run #109 (SVM),0.86,0.8,0.82,0.82, word ," (1, 2) "
25,Run #158 (SVM),0.89,0.75,0.82,0.82, word ," (2, 3) "
26,Run #301 (SGDC),0.86,0.78,0.82,0.82, char ," (2, 5) "
27,Run #181 (SVM),0.88,0.77,0.82,0.82, word ," (1, 3) "
28,Run #306 (SVM),0.83,0.81,0.82,0.82, char ," (2, 5) "
29,Run #110 (SVM),0.89,0.76,0.82,0.82, word ," (1, 2) "
30,Run #375 (SVM),0.88,0.77,0.82,0.82, char ," (3, 5) "
31,Run #217 (SGDC),0.85,0.8,0.82,0.82, char ," (2, 3) "
32,Run #159 (SVM),0.86,0.75,0.81,0.81, word ," (2, 3) "
33,Run #182 (SVM),0.88,0.76,0.81,0.81, word ," (1, 3) "
34,Run #339 (SVM),0.84,0.79,0.81,0.81, char ," (3, 4) "
35,Run #254 (SGDC),0.73,0.9,0.81,0.81, char ," (2, 4) "
36,Run #253 (RF),0.96,0.7,0.81,0.82, char ," (2, 4) "
37,Run #195 (SVM),0.82,0.8,0.81,0.81, word ," (1, 3) "
