,Algorrithm,Recall,Precision,F1-Score,Mathew,Feature,N-gram range
1,Run #362 (SVM),0.92,0.87,0.89,0.89, char ," (3, 5) "
2,Run #253 (SVM),0.87,0.91,0.89,0.89, char ," (2, 4) "
3,Run #363 (SVM),0.91,0.85,0.88,0.88, char ," (3, 5) "
4,Run #254 (SVM),0.88,0.89,0.88,0.88, char ," (2, 4) "
5,Run #362 (SGDC),0.92,0.84,0.88,0.88, char ," (3, 5) "
6,Run #361 (SVM),0.89,0.88,0.88,0.88, char ," (3, 5) "
7,Run #255 (SVM),0.87,0.87,0.87,0.87, char ," (2, 4) "
8,Run #327 (SGDC),0.87,0.87,0.87,0.87, char ," (3, 4) "
9,Run #363 (SGDC),0.97,0.78,0.86,0.87, char ," (3, 5) "
10,Run #327 (SVM),0.91,0.81,0.86,0.86, char ," (3, 4) "
11,Run #326 (SGDC),0.83,0.88,0.86,0.86, char ," (3, 4) "
12,Run #361 (RF),0.98,0.74,0.85,0.85, char ," (3, 5) "
13,Run #265 (SVM),0.83,0.86,0.85,0.85, char ," (2, 4) "
14,Run #325 (SVM),0.89,0.81,0.85,0.85, char ," (3, 4) "
15,Run #267 (SVM),0.87,0.83,0.85,0.85, char ," (2, 4) "
16,Run #268 (SVM),0.87,0.83,0.85,0.85, char ," (2, 4) "
17,Run #361 (SGDC),0.86,0.84,0.85,0.85, char ," (3, 5) "
18,Run #373 (SGDC),0.91,0.8,0.85,0.85, char ," (3, 5) "
19,Run #326 (SVM),0.9,0.81,0.85,0.85, char ," (3, 4) "
20,Run #340 (SVM),0.87,0.82,0.85,0.84, char ," (3, 4) "
21,Run #266 (SVM),0.89,0.82,0.85,0.85, char ," (2, 4) "
22,Run #254 (SGDC),0.91,0.8,0.85,0.85, char ," (2, 4) "
23,Run #362 (RF),0.98,0.73,0.84,0.85, char ," (3, 5) "
24,Run #269 (SVM),0.85,0.83,0.84,0.84, char ," (2, 4) "
25,Run #363 (RF),0.98,0.73,0.84,0.85, char ," (3, 5) "
26,Run #270 (SVM),0.85,0.83,0.84,0.84, char ," (2, 4) "
27,Run #218 (RF),0.9,0.79,0.84,0.84, char ," (2, 3) "
28,Run #337 (SVM),0.85,0.82,0.84,0.83, char ," (3, 4) "
29,Run #303 (SVM),0.84,0.83,0.84,0.84, char ," (2, 5) "
30,Run #253 (RF),0.92,0.77,0.84,0.84, char ," (2, 4) "
31,Run #304 (SVM),0.84,0.83,0.84,0.84, char ," (2, 5) "
32,Run #254 (RF),0.92,0.76,0.83,0.84, char ," (2, 4) "
33,Run #219 (SVM),0.78,0.88,0.83,0.83, char ," (2, 3) "
34,Run #217 (SGDC),0.75,0.92,0.83,0.83, char ," (2, 3) "
35,Run #219 (SGDC),0.76,0.93,0.83,0.84, char ," (2, 3) "
36,Run #375 (SVM),0.87,0.79,0.83,0.83, char ," (3, 5) "
37,Run #217 (RF),0.9,0.77,0.83,0.83, char ," (2, 3) "
38,Run #304 (RF),0.91,0.77,0.83,0.83, char ," (2, 5) "
39,Run #75 (SVM),0.86,0.8,0.83,0.83, word ," (3, 3) "
40,Run #255 (RF),0.91,0.76,0.83,0.83, char ," (2, 4) "
41,Run #339 (SVM),0.88,0.79,0.83,0.83, char ," (3, 4) "
42,Run #218 (SGDC),0.8,0.86,0.83,0.83, char ," (2, 3) "
43,Run #157 (SVM),0.82,0.84,0.83,0.83, word ," (2, 3) "
44,Run #126 (SVM),0.84,0.8,0.82,0.82, word ," (1, 2) "
45,Run #377 (SVM),0.87,0.78,0.82,0.82, char ," (3, 5) "
46,Run #303 (RF),0.89,0.75,0.82,0.82, char ," (2, 5) "
47,Run #302 (SVM),0.83,0.82,0.82,0.82, char ," (2, 5) "
48,Run #378 (SVM),0.86,0.79,0.82,0.82, char ," (3, 5) "
49,Run #342 (SVM),0.88,0.78,0.82,0.82, char ," (3, 4) "
50,Run #338 (SVM),0.88,0.78,0.82,0.82, char ," (3, 4) "
51,Run #305 (SVM),0.83,0.82,0.82,0.82, char ," (2, 5) "
52,Run #376 (SVM),0.86,0.79,0.82,0.82, char ," (3, 5) "
53,Run #146 (SVM),0.89,0.76,0.82,0.82, word ," (2, 3) "
54,Run #325 (SGDC),0.88,0.77,0.82,0.82, char ," (3, 4) "
55,Run #306 (SVM),0.82,0.82,0.82,0.82, char ," (2, 5) "
56,Run #160 (SVM),0.83,0.8,0.82,0.81, word ," (2, 3) "
57,Run #161 (SVM),0.83,0.81,0.82,0.82, word ," (2, 3) "
58,Run #373 (SVM),0.86,0.79,0.82,0.82, char ," (3, 5) "
59,Run #162 (SVM),0.83,0.8,0.82,0.81, word ," (2, 3) "
60,Run #265 (RF),0.95,0.71,0.82,0.82, char ," (2, 4) "
61,Run #305 (RF),0.91,0.75,0.82,0.82, char ," (2, 5) "
62,Run #147 (SVM),0.88,0.76,0.82,0.82, word ," (2, 3) "
63,Run #182 (SVM),0.83,0.82,0.82,0.82, word ," (1, 3) "
64,Run #219 (RF),0.89,0.75,0.81,0.81, char ," (2, 3) "
65,Run #306 (RF),0.9,0.74,0.81,0.82, char ," (2, 5) "
66,Run #301 (SVM),0.77,0.86,0.81,0.81, char ," (2, 5) "
67,Run #218 (SVM),0.74,0.89,0.81,0.81, char ," (2, 3) "
68,Run #301 (SGDC),0.78,0.83,0.81,0.8, char ," (2, 5) "
69,Run #74 (SVM),0.85,0.77,0.81,0.81, word ," (3, 3) "
70,Run #183 (SVM),0.82,0.8,0.81,0.81, word ," (1, 3) "
71,Run #341 (SVM),0.88,0.74,0.81,0.81, char ," (3, 4) "
72,Run #159 (SVM),0.82,0.8,0.81,0.81, word ," (2, 3) "
73,Run #145 (SGDC),0.85,0.76,0.81,0.81, word ," (2, 3) "
